Eugene Meyer,Eugene Meyer,E. Meyer,,,,,
John J. McCloy,John J. McCloy,J.J. McCloy,J. J. McCloy,J. McCloy,John McCloy,,
Eugene R. Black,Eugene R. Black,E. R. Black,Eugene Black,Eugene Robert Black,Gene Black,,
George David Woods,George David Woods,G. D. Woods,George D. Woods,G. Woods,George Woods,,
Robert McNamara,Robert McNamara,R. McNamara,Bob McNamara,,,,
Alden W. Clausen,Alden W. Clausen,A. W. Clausen,Alden Clausen,Alden Winship Clausen,Tom Clausen,,
Barber Conable,Barber Conable,B. Conable,,,,,
Lewis Thompson Preston,Lewis Thompson Preston,Lewis T. Preston,Lewis Preston,L. T. Preston,L.T. Preston,Preston auditorium,
James Wolfensohn,James Wolfensohn,J. Wolfensohn,Jim Wolfensohn,,,Wolfenshom atrium,
Paul Wolfowitz,Paul Wolfowitz,P. Wolfowitz,,,,,
Robert Zoellick,Robert Zoellick,R. Zoellick,Bob Zoellick,Robert Bruce Zoellick,Robert B. Zoellick,R. B. Zoellick,R.B. Zoellick
Jim Yong Kim,Jim Yong Kim,Jim Kim,Jim Y. Kim,J. kim,J. Yong Kim,J. Y. Kim,J.Y. Kim
David Malpass,David Malpass,D. Malpass,,,,,
McNamara foundation,McNamara foundation,,,,,,
