iso_alpha,popularity,year
ABW,0.0,1946
AFG,0.0,1946
AGO,0.0,1946
AIA,0.0,1946
ALB,0.0,1946
AND,0.0,1946
ARE,0.0,1946
ARG,0.0,1946
ARM,0.0,1946
ASM,0.0,1946
ATA,0.0,1946
ATG,0.0,1946
AUS,0.2546224961479199,1946
AUT,0.0,1946
AZE,0.0,1946
BDI,0.0,1946
BEL,0.15627095703640265,1946
BEN,0.0,1946
BFA,0.0,1946
BGD,0.0,1946
BGR,0.0,1946
BHR,0.0,1946
BHS,0.0,1946
BIH,0.0,1946
BLM,0.0,1946
BLR,0.0,1946
BLZ,0.0,1946
BMU,0.0,1946
BRA,0.036303991252050305,1946
BRB,0.0,1946
BRN,0.0,1946
BTN,0.0,1946
BWA,0.0,1946
CAN,0.9785301813185903,1946
CAR,0.0,1946
CHE,0.0,1946
CHI,0.0,1946
CHL,0.17071501489216087,1946
CHN,0.4761658516442552,1946
CIV,0.0,1946
CMR,0.0,1946
COD,0.0,1946
COG,0.0,1946
COK,0.0,1946
COL,0.29275560415527613,1946
COM,0.0,1946
CPV,0.0,1946
CRI,0.052288881157115163,1946
CSK,0.22029080815302793,1946
CUB,0.1178495643230471,1946
CUW,0.0,1946
CYM,0.0,1946
CYP,0.0,1946
CZE,0.0,1946
DEU,0.0015408320493066256,1946
DJI,0.0,1946
DMA,0.0,1946
DNK,1.0581639246483425,1946
DOM,0.021859933396292063,1946
DZA,0.0,1946
ECU,0.02677071425021124,1946
EGY,0.023689050151597994,1946
ERI,0.0,1946
ESH,0.0,1946
ESP,0.0,1946
EST,0.0,1946
ETH,0.031681495104130424,1946
FIN,0.0,1946
FJI,0.0,1946
FLK,0.0,1946
FRA,1.4146510952142444,1946
FSM,0.0,1946
GAB,0.0,1946
GBR,0.37863538866819346,1946
GEO,0.009533277001839058,1946
GGY,0.0,1946
GHA,0.0,1946
GIB,0.0,1946
GIN,0.0,1946
GLP,0.0,1946
GMB,0.0,1946
GNB,0.0,1946
GNQ,0.0,1946
GRC,0.06336299020826085,1946
GRD,0.0,1946
GRL,0.0,1946
GTM,0.025229882200904618,1946
GUF,0.0,1946
GUM,0.0,1946
GUY,0.0,1946
HKG,0.0,1946
HND,0.023689050151597994,1946
HRV,0.0,1946
HTI,0.25770416024653314,1946
HUN,0.0,1946
IDN,0.0,1946
IMN,0.0,1946
IND,1.3847987168654199,1946
IRL,0.0,1946
IRN,0.1292119580801921,1946
IRQ,0.02677071425021124,1946
ISL,0.03476315920274368,1946
ISR,0.0,1946
ITA,0.9554699537750385,1946
JAM,0.0,1946
JEY,0.0,1946
JOR,0.0,1946
JPN,0.0,1946
KAZ,0.0,1946
KEN,0.0,1946
KGZ,0.0,1946
KHM,0.0,1946
KIR,0.0,1946
KNA,0.0,1946
KOR,0.0,1946
KWT,0.0,1946
LAO,0.0,1946
LBN,0.9400616332819722,1946
LBR,0.01078582434514638,1946
LBY,0.0,1946
LCA,0.0,1946
LIE,0.0,1946
LKA,0.0,1946
LSO,0.0,1946
LTU,0.0,1946
LUX,0.04121477210596948,1946
LVA,0.0,1946
MAC,0.0,1946
MAF,0.0,1946
MAR,0.0,1946
MCO,0.0,1946
MDA,0.0,1946
MDG,0.0,1946
MDV,0.0,1946
MEX,0.04275560415527611,1946
MHL,0.0,1946
MKD,0.0,1946
MLI,0.0,1946
MLT,0.0,1946
MMR,0.0,1946
MNE,0.0,1946
MNG,0.0,1946
MNP,0.0,1946
MOZ,0.0,1946
MRT,0.0,1946
MSR,0.0,1946
MTQ,0.0,1946
MUS,0.0,1946
MWI,0.0,1946
MYS,0.0,1946
MYT,0.0,1946
NAM,0.0,1946
NCL,0.0,1946
NER,0.0,1946
NFK,0.0,1946
NGA,0.0,1946
NIC,0.045837268253889354,1946
NIU,0.0,1946
NLD,0.8985254402969001,1946
NOR,0.13229362217880536,1946
NPL,0.0,1946
NRU,0.0,1946
NZL,0.0030816640986132513,1946
OMN,0.0,1946
PAK,0.0,1946
PAN,0.022148218102291367,1946
PCN,0.0,1946
PER,0.03322232715343705,1946
PHL,0.012903225806451613,1946
PIC,0.0,1946
PLW,0.0,1946
PNG,0.0,1946
POL,0.06827377106218002,1946
PRI,0.0,1946
PRK,0.0,1946
PRT,0.0,1946
PRY,1.0437198667925842,1946
PSE,0.0,1946
PYF,0.0,1946
QAT,0.0,1946
REU,0.0,1946
ROU,0.0,1946
RUS,0.0,1946
RWA,0.0,1946
SAU,0.0,1946
SDN,0.0,1946
SEN,0.0,1946
SGP,0.0,1946
SHN,0.0,1946
SLB,0.0,1946
SLE,0.0,1946
SLV,0.0301406630548238,1946
SMR,0.0,1946
SOM,0.0,1946
SRB,0.0,1946
SSD,0.0,1946
STP,0.0,1946
SUN,0.0,1946
SUR,0.0,1946
SVK,0.0,1946
SVN,0.0,1946
SWE,0.0,1946
SWZ,0.0,1946
SYC,0.0,1946
SYR,0.9385208012326657,1946
TCA,0.0,1946
TCD,0.0,1946
TGO,0.0,1946
THA,0.0,1946
TJK,0.0,1946
TKM,0.0,1946
TLS,0.0,1946
TON,0.0,1946
TPE,0.0,1946
TTO,0.0,1946
TUN,0.0,1946
TUR,0.9416024653312789,1946
TUV,0.0,1946
TZA,0.0,1946
UGA,0.0,1946
UKR,0.0,1946
URY,0.044584720910582035,1946
USA,1.4280232615935184,1946
UZB,0.0,1946
VAT,0.0,1946
VCT,0.0,1946
VEN,0.2561633281972265,1946
VGB,0.0,1946
VIR,0.0,1946
VNM,0.0,1946
VUT,0.0,1946
WBG,0.0,1946
WLF,0.0,1946
WSM,0.0,1946
XKX,0.0,1946
YEM,0.0,1946
YUG,0.07135543516079328,1946
ZAF,0.37146644134068957,1946
ZMB,0.0,1946
ZWE,0.0,1946
BVT,0.0,1946
FRO,0.0,1946
SPM,0.0,1946
SXM,0.0,1946
ABW,0.0,1947
AFG,0.0,1947
AGO,0.0,1947
AIA,0.0,1947
ALB,0.010238907849829351,1947
AND,0.0,1947
ARE,0.13025210084033612,1947
ARG,1.1359881396803941,1947
ARM,0.0,1947
ASM,0.0,1947
ATA,0.0,1947
ATG,0.0,1947
AUS,2.8391139533901697,1947
AUT,0.5409850020173346,1947
AZE,0.0,1947
BDI,0.0,1947
BEL,3.691925430588245,1947
BEN,0.0,1947
BFA,0.0,1947
BGD,0.0,1947
BGR,0.040141820471188576,1947
BHR,0.0,1947
BHS,0.0,1947
BIH,0.0,1947
BLM,0.0,1947
BLR,0.0,1947
BLZ,0.0,1947
BMU,0.0,1947
BRA,0.8925254103719901,1947
BRB,0.0,1947
BRN,0.0,1947
BTN,0.0,1947
BWA,0.0,1947
CAN,3.375556295088896,1947
CAR,0.0,1947
CHE,1.4482613040364947,1947
CHI,0.0,1947
CHL,3.5101012487614165,1947
CHN,2.547224135252676,1947
CIV,0.013793103448275862,1947
CMR,0.0,1947
COD,0.002336448598130841,1947
COG,0.0,1947
COK,0.0,1947
COL,0.6838186868921615,1947
COM,0.0,1947
CPV,0.0,1947
CRI,0.05743793243793244,1947
CSK,0.6657648060769976,1947
CUB,1.0555171272325299,1947
CUW,0.0,1947
CYM,0.0,1947
CYP,0.0,1947
CZE,0.0,1947
DEU,2.1861754507056803,1947
DJI,0.0,1947
DMA,0.0,1947
DNK,8.546506693185702,1947
DOM,0.017094017094017096,1947
DZA,0.0034129692832764505,1947
ECU,0.3917145902724375,1947
EGY,1.6210309761735004,1947
ERI,0.0,1947
ESH,0.0,1947
ESP,0.23201975312518247,1947
EST,0.006825938566552901,1947
ETH,0.13689423603216705,1947
FIN,2.7540197263911543,1947
FJI,0.0,1947
FLK,0.0,1947
FRA,8.195941184225955,1947
FSM,0.0,1947
GAB,0.0,1947
GBR,4.141086653399601,1947
GEO,0.726190476190476,1947
GGY,0.0,1947
GHA,0.0,1947
GIB,0.0,1947
GIN,0.010416666666666666,1947
GLP,0.0,1947
GMB,0.0,1947
GNB,0.0,1947
GNQ,0.0,1947
GRC,2.368843555915684,1947
GRD,0.0,1947
GRL,0.05622188905547226,1947
GTM,0.05743793243793244,1947
GUF,0.0,1947
GUM,0.0,1947
GUY,0.013793103448275862,1947
HKG,0.0,1947
HND,0.3219881969881969,1947
HRV,0.0,1947
HTI,0.10526315789473684,1947
HUN,0.08752728166385014,1947
IDN,0.4109871452825612,1947
IMN,0.0,1947
IND,2.1862126278792626,1947
IRL,0.5340229885057471,1947
IRN,1.9566401270397404,1947
IRQ,0.09192069105862209,1947
ISL,0.11601010799540583,1947
ISR,0.0,1947
ITA,1.8451535049257883,1947
JAM,0.0,1947
JEY,0.38383838383838387,1947
JOR,0.0,1947
JPN,0.07316362781898171,1947
KAZ,0.0,1947
KEN,0.0,1947
KGZ,0.0,1947
KHM,0.0,1947
KIR,0.0,1947
KNA,0.0,1947
KOR,0.0,1947
KWT,0.0,1947
LAO,0.2,1947
LBN,0.6549367636674789,1947
LBR,0.0,1947
LBY,0.0,1947
LCA,0.0,1947
LIE,0.0,1947
LKA,0.0,1947
LSO,0.0,1947
LTU,0.0,1947
LUX,5.405269018187084,1947
LVA,0.006825938566552901,1947
MAC,0.0,1947
MAF,0.0,1947
MAR,0.0034129692832764505,1947
MCO,0.0,1947
MDA,0.0,1947
MDG,0.0,1947
MDV,0.0,1947
MEX,0.6194481271538331,1947
MHL,0.0,1947
MKD,0.0,1947
MLI,0.0,1947
MLT,0.04507963594994312,1947
MMR,0.1111111111111111,1947
MNE,0.0,1947
MNG,0.0,1947
MNP,0.0,1947
MOZ,0.0,1947
MRT,0.0,1947
MSR,0.0,1947
MTQ,0.0,1947
MUS,0.0,1947
MWI,0.0,1947
MYS,0.0,1947
MYT,0.0,1947
NAM,0.0,1947
NCL,0.0,1947
NER,0.0,1947
NFK,1.0,1947
NGA,0.0,1947
NIC,0.13226460640253743,1947
NIU,0.0,1947
NLD,7.276509004148435,1947
NOR,0.6112166140722846,1947
NPL,0.0,1947
NRU,0.0,1947
NZL,0.21871238084437022,1947
OMN,0.0,1947
PAK,0.047619047619047616,1947
PAN,0.3120570361949672,1947
PCN,0.0,1947
PER,0.37761595806230025,1947
PHL,0.0799090109434937,1947
PIC,0.0,1947
PLW,0.0,1947
PNG,0.0,1947
POL,9.272079277228102,1947
PRI,0.0,1947
PRK,0.0,1947
PRT,0.19094612474614137,1947
PRY,0.7762918754298064,1947
PSE,0.19201112375173807,1947
PYF,0.0,1947
QAT,0.0,1947
REU,0.0,1947
ROU,0.05189554945614623,1947
RUS,1.0498887975725502,1947
RWA,0.0,1947
SAU,0.0,1947
SDN,0.005208333333333333,1947
SEN,0.0,1947
SGP,0.0,1947
SHN,0.0,1947
SLB,0.0,1947
SLE,0.0,1947
SLV,0.13481888481888482,1947
SMR,0.0,1947
SOM,0.0,1947
SRB,0.0,1947
SSD,0.0,1947
STP,0.0,1947
SUN,0.9340395884786279,1947
SUR,0.0,1947
SVK,0.0,1947
SVN,0.0,1947
SWE,0.914725202391663,1947
SWZ,0.0,1947
SYC,0.0,1947
SYR,0.6833664498473389,1947
TCA,0.0,1947
TCD,0.17692307692307693,1947
TGO,0.0,1947
THA,0.0,1947
TJK,0.0,1947
TKM,0.0,1947
TLS,0.0,1947
TON,0.0,1947
TPE,0.0,1947
TTO,0.0,1947
TUN,0.0034129692832764505,1947
TUR,2.176874679727174,1947
TUV,0.0,1947
TZA,0.0,1947
UGA,0.0,1947
UKR,0.06403186274509803,1947
URY,0.23086859500652604,1947
USA,2.224718689946763,1947
UZB,0.0,1947
VAT,0.0,1947
VCT,0.0,1947
VEN,0.5186280988103207,1947
VGB,0.0,1947
VIR,0.14285714285714285,1947
VNM,0.0,1947
VUT,0.0,1947
WBG,0.0,1947
WLF,0.0,1947
WSM,0.0,1947
XKX,0.0,1947
YEM,0.0,1947
YUG,0.808115499092249,1947
ZAF,0.12697545025131232,1947
ZMB,0.0,1947
ZWE,0.0,1947
BVT,0.0,1947
FRO,0.0,1947
SPM,0.0,1947
SXM,0.0,1947
ABW,0.0,1948
AFG,0.0,1948
AGO,0.1701923076923077,1948
AIA,0.0,1948
ALB,0.21588165124931727,1948
AND,0.0,1948
ARE,0.0,1948
ARG,2.017216926088113,1948
ARM,0.061358313817330215,1948
ASM,0.0,1948
ATA,0.0,1948
ATG,0.0,1948
AUS,4.550808348932627,1948
