module,repo_count
os,9562
sys,8460
re,4274
time,4239
__future__,3418
logging,3121
json,2868
datetime,2733
unittest,2455
subprocess,2315
collections,1964
django,1944
numpy,1833
random,1695
shutil,1568
math,1398
tempfile,1391
argparse,1371
threading,1282
setuptools,1269
socket,1247
itertools,1203
copy,1160
string,1104
functools,1058
traceback,1033
struct,1026
urllib,1005
hashlib,997
glob,915
requests,911
warnings,799
six,789
base64,777
optparse,770
xml,751
mock,734
distutils,721
pytest,697
operator,681
io,663
errno,661
uuid,650
inspect,649
codecs,628
types,604
flask,589
urllib2,577
matplotlib,564
platform,557
scipy,536
signal,535
contextlib,503
urlparse,492
StringIO,483
csv,469
pprint,468
nose,465
utils,449
pickle,402
multiprocessing,392
sqlalchemy,389
binascii,384
Util,373
Core,373
perf_trace_context,370
textwrap,367
ctypes,361
stat,358
thread,354
zipfile,340
getopt,330
yaml,326
abc,325
shlex,324
cStringIO,323
tests,317
pandas,316
decimal,308
pkg_resources,298
config,293
cPickle,293
ConfigParser,290
util,286
fnmatch,285
imp,281
common,271
select,257
weakref,247
lxml,243
getpass,240
httplib,239
twisted,239
importlib,239
jinja2,236
email,235
gzip,231
Queue,230
dateutil,229
sqlite3,228
zlib,226
sklearn,223
google,214
sets,214
tornado,203
rest_framework,201
PIL,201
cgi,197
bs4,196
gtest_test_utils,196
mimetypes,194
tarfile,192
pytz,190
PyQt4,188
locale,184
hmac,184
werkzeug,181
ast,179
posixpath,176
gc,176
array,176
unicodedata,174
south,170
gettext,168
atexit,164
models,158
bisect,150
calendar,150
lib,146
difflib,141
simplejson,141
ssl,135
pylab,131
theano,130
core,126
webbrowser,126
gi,125
alembic,125
settings,124
asyncio,122
click,122
test,120
oslo_config,117
redis,115
commands,114
smtplib,112
pymongo,112
celery,107
SocketServer,106
doctest,104
numbers,104
docutils,103
enum,102
boto,102
fileinput,101
fcntl,99
zope,98
gtk,98
oslo_log,97
pwd,96
pkgutil,95
sublime,95
base,94
app,94
pygments,94
wx,94
oslo_utils,93
selenium,92
gevent,91
sphinx,91
heapq,91
openerp,90
api,89
pdb,89
cookielib,89
BaseHTTPServer,88
testtools,87
httplib2,86
cv2,85
fabric,85
builtins,85
serial,84
unittest2,83
exceptions,82
bson,78
__builtin__,77
wtforms,76
HTMLParser,76
md5,76
constants,75
networkx,75
gobject,74
psutil,74
webob,73
MySQLdb,73
pygame,73
sublime_plugin,72
OpenSSL,72
Crypto,72
concurrent,71
timeit,71
h5py,70
psycopg2,70
configparser,69
helpers,69
marshal,68
tokenize,68
future,67
htmlentitydefs,66
bz2,66
dbus,65
PyQt5,65
xmlrpclib,65
markdown,65
Tkinter,64
queue,63
netaddr,63
eventlet,62
asyncore,59
nltk,59
tools,59
gyp,58
plistlib,56
bpy,56
xbmc,55
oslo_serialization,54
mpl_toolkits,54
pip,54
webapp2,54
code,54
scrapy,54
BeautifulSoup,53
ntpath,53
PySide,53
pyasn1,53
http,53
pyspark,53
zmq,53
linecache,53
tensorflow,52
IPython,51
docopt,51
wsgiref,51
fixtures,49
main,49
data,49
web,49
model,49
errors,47
gdb,47
elasticsearch,47
error,47
sgmllib,47
mmap,46
xbmcgui,46
oauth2client,46
dns,45
py,45
pexpect,44
bottle,44
ansible,44
log,43
haystack,43
cherrypy,43
pipes,43
grp,43
thrift,43
mako,42
filecmp,42
pyramid,42
quopri,42
Cython,41
modules,41
parser,41
_multibytecodec,41
paramiko,41
curses,41
compiler,40
Image,40
factory,40
_codecs_jp,39
scapy,39
_codecs_cn,39
_codecs_tw,39
colorama,39
content,38
sources,38
token,38
resources,38
keyword,38
views,37
aiohttp,37
server,37
mongoengine,37
zipimport,37
markupbase,37
jsonrpc,37
cProfile,37
xbmcaddon,36
colorsys,36
java,36
sympy,35
pyparsing,35
sha,35
db,35
sndhdr,34
Bio,34
shelve,34
webtest,34
version,34
pbr,34
babel,34
cairo,34
html,34
docker,33
neutron,33
keras,33
stevedore,33
sphinx_rtd_theme,33
sre_constants,33
tempest,33
RPi,32
jsonschema,32
helper,32
shapely,32
apiclient,32
pycurl,32
SimpleHTTPServer,32
feedparser,32
lib2to3,32
typing,31
oslo_messaging,31
oslo_db,31
pstats,31
fractions,31
utilities,31
skimage,31
zc,31
project,30
flask_login,30
SCons,30
rospy,30
gui,30
tastypie,30
cmd,30
UserDict,30
__main__,30
pydoc,30
jsonfield,30
plugins,29
oslotest,29
boto3,29
mimetools,29
xlrd,29
pango,29
coverage,29
taggit,29
kivy,29
Cookie,29
py_compile,29
OpenGL,28
pecan,28
asynchat,28
support,28
configobj,28
events,28
gflags,28
pathlib,28
opcode,28
src,28
logger,28
forms,28
mathutils,27
novaclient,27
ui,27
cryptography,27
misc,27
responses,27
handler,26
pygtk,26
paste,26
telnetlib,26
arrow,26
handlers,26
tkinter,26
sysconfig,26
resource,26
caffe,26
twitter,25
chardet,25
test_framework,25
libs,25
osgeo,25
lasagne,25
storage,25
org,25
reportlab,25
routes,25
httpretty,25
horizon,25
gensim,24
compound,24
neutronclient,24
auth,24
users,24
path,24
rdflib,24
progressbar,24
indexsuper,24
cffi,24
apps,24
framework,24
readline,24
transaction,24
command,24
pysam,24
unidecode,24
pika,23
kombu,23
suds,23
formatter,23
compat,23
keystoneclient,23
Utils,23
botocore,23
mutagen,23
django_extensions,23
behave,23
qgis,23
client,23
unicodecsv,23
ipaddress,23
oslo_service,23
_tkinter,23
tweepy,22
account,22
dis,22
bleach,22
tkMessageBox,22
mailbox,22
ply,22
hamcrest,22
peewee,22
site,22
_yaml,22
freezegun,21
copy_reg,21
html5lib,21
wagtail,21
termios,21
module,21
xmlreader,21
seaborn,21
new,21
oslo_concurrency,21
oauthlib,21
astropy,21
test_utils,21
ftplib,21
TestCommon,21
git,21
node,20
bitcoin,20
pywintypes,20
gdata,20
imghdr,20
past,20
flask_wtf,20
cms,20
prettytable,20
mox,20
com,20
setup,20
oslo_i18n,20
win32api,20
gnuradio,20
py2exe,20
vim,20
cliff,20
idlelib,20
vtk,19
conf,19
msgpack,19
urllib3,19
waflib,19
maya,19
encodings,19
sre_compile,19
database,19
decorator,19
ldap,19
rsa,19
mod_pywebsocket,19
ddt,19
autobahn,19
xlwt,19
source,19
System,19
pymysql,19
Options,18
sh,18
widgets,18
apscheduler,18
modulefinder,18
third_party,18
examples,18
clr,18
xmltodict,18
websocket,18
flask_restful,18
jedi,18
usb,18
messages,18
environment,18
TestGyp,18
rfc822,18
_multiprocessing,18
testing,18
mptt,18
ndg,18
pyximport,17
iso8601,17
libxml2,17
greenlet,17
htmllib,17
xbmcclient,17
ttk,17
win32con,17
testfixtures,17
_winreg,17
slugify,17
cgitb,17
requests_mock,17
SimpleXMLRPCServer,17
oauth2,17
tokens,17
beaker,17
__init__,17
google3,17
pyquery,17
httmock,17
xbmcplugin,17
backend,16
nibabel,16
pylint,16
_ast,16
pylons,16
M2Crypto,16
syslog,16
invoke,16
imaplib,16
requests_oauthlib,16
builder,16
toolz,16
shadowsocks,16
logbook,16
example,16
i18n,16
testscenarios,16
analysis,16
xbmcvfs,16
tkFileDialog,16
pyglet,16
clang,16
tables,16
debug,16
AppKit,16
interface,16
django_filters,16
mercurial,16
registration,16
cmath,16
javax,16
statistics,15
telemetry,15
social,15
chunk,15
ttypes,15
whoosh,15
UserList,15
_sre,15
braces,15
netCDF4,15
pylib,15
functions,15
idaapi,15
std_msgs,15
connection,15
closure_linter,15
tlslite,15
capstone,15
dbm,15
stats,15
regex,15
keystoneauth1,15
pickletools,15
search,15
bpy_extras,15
github,15
options,15
dj_database_url,14
openstack_dashboard,14
crispy_forms,14
flexmock,14
vis,14
audioop,14
atom,14
reversion,14
markupsafe,14
_util,14
metrics,14
astroid,14
genericpath,14
ez_setup,14
cpp,14
kafka,14
controllers,14
cassandra,14
icalendar,14
traits,14
model_utils,14
termcolor,14
_exceptions,14
Foundation,14
report,14
wsme,14
discord,14
roslib,14
wave,14
tkFont,14
ipaddr,14
ujson,14
jsbeautifier,14
paver,14
faker,14
raven,14
mechanize,13
datasets,13
smtpd,13
daemon,13
django_countries,13
migrate,13
magic,13
scripts,13
user,13
net,13
geometry_msgs,13
pyqtgraph,13
protocol,13
_weakrefset,13
TTransport,13
tty,13
basic,13
watchdog,13
pycparser,13
foo,13
webkitpy,13
blog,13
pipeline,13
socketserver,13
kazoo,13
tree,13
salt,13
FreeCAD,13
yapsy,13
drivers,13
_ctypes_test,13
TestCmd,13
arcpy,13
Numeric,13
statsmodels,13
_version,13
turtle,13
fontforge,13
lit,12
request,12
oslo,12
neutron_lib,12
website,12
bitcoinrpc,12
tabulate,12
Config,12
nova,12
pymel,12
oslo_context,12
utility,12
wizard,12
croc,12
configuration,12
appconf,12
googleapiclient,12
urwid,12
testutils,12
shell,12
Face,12
pybench,12
crypt,12
colors,12
blinker,12
idc,12
openid,12
color,12
rijndael,12
metadata,12
guardian,12
application,12
mopidy,12
symbol,12
blessings,12
ycm_core,12
libvirt,12
openpyxl,12
objc,12
djcelery,12
cx_Freeze,12
syscalls,12
accounts,12
wheel,12
cryptomath,12
protorpc,12
guessit,12
jwt,12
poplib,12
idl_parser,12
feature,12
cv,12
service,12
trend_graph,12
traffic_control,12
_ctypes,12
sip,12
itsdangerous,12
fontTools,12
netifaces,12
lexer,12
future_builtins,11
win32com,11
popen2,11
captcha,11
marshmallow,11
polib,11
workflow,11
test_util,11
cr,11
oslo_middleware,11
praw,11
DataflashLog,11
profile,11
pages,11
arducopter,11
pefile,11
controller,11
tzlocal,11
MSCommon,11
voluptuous,11
LogAnalyzer,11
hypothesis,11
_io,11
mistune,11
task,11
jsonrpclib,11
png,11
trace,11
state,11
wsmeext,11
lettuce,11
info,11
falcon,11
FileGenerator,11
geojson,11
uu,11
layouttest_analyzer_helpers,11
rotmat,11
bdb,11
parsers,11
smbus,11
memcache,11
_testcapi,11
mpi4py,11
AES,11
idl_node,11
ryu,11
filters,11
sensor_msgs,11
twilio,11
sure,11
rq,11
event,11
webforms_aggregator,11
traitsui,11
mavutil,11
fields,10
dashboard,10
exception,10
mininet,10
loader,10
features,10
sqlparse,10
_response,10
pyb,10
grit,10
services,10
test_all,10
mysql,10
copyreg,10
const,10
pymavlink,10
hotshot,10
gridfs,10
text,10
typ,10
py4j,10
classes,10
download,10
_request,10
test_expectations_history,10
netrc,10
fs,10
_html,10
idautils,10
find_depot_tools,10
render,10
versioneer,10
paths,10
rpc,10
pythoncom,10
digress,10
rules,10
parse,10
alabaster,10
wiki,10
bench,10
flask_script,10
catapult_base,10
win32gui,10
subunit,10
dogpile,10
nose_parameterized,10
debug_toolbar,10
xmlrunner,10
pygeoip,10
direct,10
test_base,10
ihooks,10
cinderclient,10
IPy,10
bmesh,10
oslo_versionedobjects,10
cython,10
gdb_helper,10
Part,10
_weakref,10
html2text,10
rethinkdb,10
pyaudio,10
posix,10
certifi,10
build,10
_base,10
rope,10
Errors,9
shared,9
paho,9
construct,9
nodes,9
robotparser,9
ImageDraw,9
webapp2_extras,9
FreeCADGui,9
tf,9
liblinear,9
socks,9
bug,9
pycuda,9
plugin,9
osv,9
measurements,9
file_system,9
qrcode,9
formencode,9
test_app,9
anyjson,9
joblib,9
monitor,9
ws4py,9
tqdm,9
cvxopt,9
build_paths,9
runpy,9
deploy,9
flask_sqlalchemy,9
frontend,9
testlib,9
_sqlite3,9
oshelpers,9
mox3,9
sdk_update_common,9
actions,9
sqlalchemy_utils,9
glib,9
flask_security,9
jingo,9
UserString,9
semantic_version,9
v8_globals,9
v8_utilities,9
clint,9
mayavi,9
compileall,9
pystache,9
_rfc3986,9
pyflakes,9
oslo_policy,9
ColorDB,9
ElementTree,9
getos,9
bisect_utils,9
consts,9
path_util,9
graph,9
parameters,9
v8_types,9
xmlrpc,9
math_utils,9
glanceclient,9
samba,9
dropbox,9
product,9
babelfish,9
luigi,9
reprlib,9
network,9
WidgetGen,9
idl_ppapi_lexer,9
system,9
gio,9
crawler,9
theme,9
idl_types,9
StringEncoding,8
engine,8
bencode,8
Code,8
webapi,8
win32event,8
conftest,8
oauth2_provider,8
Symtab,8
libcloud,8
azure,8
bisect_state,8
mojom,8
rasterio,8
contracts,8
bitarray,8
pymc,8
UtilNodes,8
genshi,8
Naming,8
taskflow,8
tracetool,8
source_control,8
bluetooth,8
django_jinja,8
bjam,8
appengine_url_fetcher,8
geoalchemy2,8
robot,8
memory_inspector,8
dumbdbm,8
registry,8
b2,8
winreg,8
jieba,8
google_api_keys,8
cpp_generator,8
recommonmark,8
panda3d,8
schema,8
plotly,8
layers,8
win32file,8
symbol_extractor,8
antlr3,8
treescan,8
pyqode,8
Nodes,8
_pyio,8
default,8
ttest,8
DebugFlags,8
flaky,8
idl_schema,8
generator,8
pybindgen,8
subprocess2,8
Visitor,8
django_nose,8
Tools,8
build_version,8
cement,8
treewizard,8
_socket,8
PyrexTypes,8
converter,8
Scanning,8
jnius,8
keyring,8
json_schema,8
page_sets,8
jsonpickle,8
pyinotify,8
pretty_print,8
processor,8
pty,8
pyVmomi,8
diff_util,8
moto,8
stock,8
appengine_wrappers,8
webhelpers,8
mezzanine,8
