x,y,z,word,cluster,count
8.609283,1.0490613,-6.8490314,econ,5,29895
-4.0902333,-0.29254293,-7.632594,linear,0,27975
-4.052517,-0.16539335,-7.5351105,non_linear,0,2986
-3.6950831,-0.26697636,-7.8503933,observation,0,161712
-3.8595023,-0.4171052,-8.079831,standard_deviation,0,34743
8.408615,1.27004,-6.8271728,ante,5,33323
-3.5530038,-0.25984526,-7.53331,robustness,0,12286
-3.8008966,-0.068798065,-8.002428,log,0,134090
-3.9146223,-0.41366243,-8.135765,weight,0,209426
-3.6906118,-0.25653458,-7.809076,variable,0,374181
-3.6556144,-0.27952433,-7.7141714,panel,0,181570
-3.7326074,-0.36087513,-7.5825224,robustness_test,0,993
-3.7927213,-0.56120825,-6.732313,monitor,0,716453
8.862415,2.654706,-3.1559534,die,1,36092
-3.6652665,-0.20624876,-7.9679723,significance,0,89502
-3.8805156,-0.40108395,-7.3619776,instrument,0,376060
-3.6964688,-0.33846235,-7.759717,column,0,103745
-3.8906,-0.38179445,-7.6856527,asterisk,0,2653
-4.171269,0.17622948,-7.414118,analogous,0,5295
-4.0559793,-0.48522615,-7.4072237,correlation_matrix,0,827
-3.7279284,-0.3304987,-7.747292,regression,0,111740
-3.732257,-0.22480106,-7.942342,regress,0,5889
-3.6919825,-0.37626123,-7.4481907,multivariate,0,3663
-3.8741646,-0.4100914,-8.047712,squared,0,17044
9.770536,2.167945,-4.1853404,ass,1,14182
9.210098,2.6029687,-3.7648637,foe,1,3824
9.851526,2.5267792,-4.385401,cont,1,27528
8.523363,1.2308054,-6.770458,para,5,429930
9.100948,2.7021565,-3.7474012,fag,1,900
11.703669,5.1279535,-3.394393,aux,2,20783
8.631315,1.282556,-6.6722236,empress,5,22070
9.711214,2.3864121,-4.311298,rec,1,20509
8.468559,1.2711558,-6.8391585,forestall,5,4692
-3.5567636,-0.33364344,-7.5953817,specification,0,141293
11.545582,5.0387506,-3.3023124,financier,2,40116
11.683964,5.104357,-3.4267864,etude,2,7477
11.530575,4.9855328,-3.454819,directer,2,7375
-3.6621976,-0.2642169,-7.8148785,dependent,0,136917
8.066488,3.2504473,-3.084045,sec,6,85867
11.719154,5.1374636,-3.3966126,oblique,2,1518
9.424341,2.6756763,-3.8303332,pro,1,262022
9.148569,2.4041648,-3.5677562,eat,1,42270
9.595921,2.6932683,-3.8555255,dis,1,52837
-3.973015,-0.38655663,-7.508116,vector,0,31258
-3.7886665,-0.55468035,-6.8706884,parameter,0,158373
