ISO_Codes,Names,Rules
MMR,Myanmar,Don't use Burma
MNP,Northern Mariana Islands (US),Name in italic
MOZ,Mozambique,None
MRT,Mauritania,None
MUS,Mauritius,None
MWI,Malawi,None
MYS,Malaysia,None
NCL,New Caledonia (Fr.),Name in italic
NIC,Nicaragua,None
OMN,Oman,None
PAN,Panama,None
PCN,Pitcairn Islands (UK),Name in italic
PHL,Philippines,None
PLW,Palau,None
PNG,Papua New Guinea,None
PRI,Puerto Rico (US),Name in italic
PRT,Portugal,None
PYF,French Polynesia (Fr.),Name in italic
SAU,Saudi Arabia,None
SLB,Solomon Islands,None
SLE,Sierra Leone,None
SPM,Saint-Pierre-et-Miquelon (Fr.),Name in italic
STP,São Tomé and Príncipe,"Accents on a, e, and i"
SWE,Sweden,None
SYC,Seychelles,None
TCA,Turks and Caicos Islands (UK),Name in italic
THA,Thailand,None
TJK,Tajikistan,None
TKM,Turkmenistan,None
TLS,Timor-Leste,Don't use East Timor
TON,Tonga,None
TTO,Trinidad and Tobago,None
TUN,Tunisia,None
TUR,Turkey,None
TUV,Tuvalu,None
TZA,Tanzania,Don't use United Republic of Tanzania
UKR,Ukraine,None
USA,United States of America,None
USA,Guantanamo Bay (US),None
UZB,Uzbekistan,None
VCT,Saint Vincent and the Grenadines,None
VEN,"Venezuela, Republica Bolivariana de","Always have ""R.B. de"" before ""Venezuela"""
VGB,British Virgin Islands (UK),Name in italic
VIR,U.S. Virgin Islands (US),Name in italic
VNM,Vietnam,Name in one word
VUT,Vanuatu,None
WLF,Wallis-et-Futuna (Fr.),Name in italic
WSM,Samoa,None
YEM,"Yemen, Republic of","Always have ""Republic of"" before ""Yemen"""
XXX,Arunachal Pradesh,Fill color should be halfway between India & China
XXX,Demchok,Fill color should be halfway between India & China
XXX,Aksai Chin,Fill color should be halfway between India & China
XXX,Abyei,Name in italic; Fill color should be halfway between Sudan and South Sudan
ESH,Western Sahara,"Name in italic; Always fill color as ""No Data"""
