ngram,cleaned
denomination_information_map,denomination information map
food_processing,food processing
express_concern,express concern
participatory_process,participatory process
food_crop,food crop
copy_world_bank,copy world bank
post_limited,post limited
fiscal_space,fiscal space
short_long_term,short long term
lump_sum,lump sum
problem_solve,problem solve
stock_exchange,stock exchange
ethnic_group,ethnic group
qualification_specific,qualification specific
far_possible,far possible
qualified_staff,qualified staff
small_medium_size,small medium size
web_site,web site
box_box,box box
training_session,training session
world_bank_affiliated_organization,world bank affiliate organization
cost_physical_contingency,cost physical contingency
post_request_bid_open,post request bid open
disburse_effective,disburse effective
small_medium_sized,small medium sized
implementing_agency,implement agency
report_notice_invitation,report notice invitation
finance_eligible_expenditure,finance eligible expenditure
association_cable_address,association cable address
life_expectancy_birth,life expectancy birth
agree_lend,agree lend
record_keeping,record keeping
potable_water,potable water
awareness_campaign,awareness campaign
private_operator,private operator
issue_open_minute,issue open minute
informal_sector,informal sector
vary_degree,vary degree
ethnic_minority,ethnic minority
emphasize_importance,emphasize importance
catchment_area,catchment area
technical_proposal_negotiate,technical proposal negotiate
gender_equality,gender equality
ton_ton,ton ton
transmission_distribution,transmission distribution
small_town,small town
grand_total,grand total
closely_related,closely related
north_east,north east
flood_protection,flood protection
page_public_disclosure,page public disclosure
recommendation_justification_award,recommendation justification award
agreement_date_herewith,agreement date herewith
export_orient,export orient
retroactive_financing,retroactive financing
later_month,later month
custom_duty,custom duty
authorization_currency_equivalent,authorization currency equivalent
educational_attainment,educational attainment
substantial_substantial,substantial substantial
type_actual_expression,type actual expression
benefit_accrue,benefit accrue
deem_necessary,deem necessary
outcome_rating,outcome rating
close_cooperation,close cooperation
building_block,building block
foreign_exchange_earning,foreign exchange earn
grow_faster,grow faster
late_early,late early
information_dissemination,information dissemination
economically_viable,economically viable
bilateral_donor,bilateral donor
draft_sign_contract,draft sign contract
segment_population,segment population
pro_gram,pro gram
planning_budgeting,plan budgeting
merchandise_export,merchandise export
unless_indicate,unless indicate
world_bank_authorization_currency,world bank authorization currency
sample_size,sample size
guide_principle,guide principle
republic_authorize_representative,republic authorize representative
emphasis_place,emphasis place
play_significant,play significant
foreseeable_future,foreseeable future
short_list,short list
great_emphasis,great emphasis
rat_satisfactory,rat satisfactory
crop_yield,crop yield
association_shall_reasonably,association shall reasonably
vary_considerably,vary considerably
post_qualification_open_national,post qualification open national
political_instability,political instability
infant_mortality_rate,infant mortality rate
free_trade,free trade
south_south,south south
grievance_mechanism,grievance mechanism
content_introduction,content introduction
shall_furnish,shall furnish
east_pacific_region,east pacific region
cultivate_land,cultivate land
guideline_prevent_combat,guideline prevent combat
gross_domestic,gross domestic
extremely_low,extremely low
sustainable_manner,sustainable manner
empirical_analysis,empirical analysis
baseline_actual_previous_actual,baseline actual previous actual
infant_mortality,infant mortality
inclusive_growth,inclusive growth
task_manager,task manager
rule_regulation,rule regulation
paragraph_section,paragraph section
express_percentage,express percentage
trade_facilitation,trade facilitation
market_orient,market orient
forest_pest_management,forest pest management
successfully_complete,successfully complete
request_proposal_opening,request proposal opening
section_unless_context,section unless context
capital_intensive,capital intensive
restructure_history_restructuring,restructure history restructuring
tender_document,tender document
crude_oil,crude oil
remain_constant,remain constant
employment_creation,employment creation
expand_coverage,expand coverage
forward_look,forward look
require_capitalize_term,require capitalize term
private_investor,private investor
specify_purpose,specify purpose
skilled_worker,skilled worker
household_head,household head
hazardous_waste,hazardous waste
subject_paragraph,subject paragraph
prior_open,prior open
price_contingency_total,price contingency total
subject_prior_review,subject prior review
web_base,web base
relatively_short,relatively short
soon_available_case,soon available case
memorandum_item,memorandum item
labor_force_participation,labor force participation
square_meter,square meter
datum_sheet,datum sheet
research_extension,research extension
conclusion_recommendation,conclusion recommendation
background_paper,background paper
mineral_resource,mineral resource
cable_address_international,cable address international
preparatory_work,preparatory work
female_beneficiary,female beneficiary
baseline_scenario,baseline scenario
borrower_shall_furnish,borrower shall furnish
innovative_approach,innovative approach
special_commitment,special commitment
foreign_exchange_reserve,foreign exchange reserve
discuss_chapter,discuss chapter
quality_entry,quality entry
reconstruction_development,reconstruction development
safeguard_instrument,safeguard instrument
improve_living_condition,improve live condition
crop_livestock,crop livestock
reference_draft_bidding,reference draft bidding
fiscal_sustainability,fiscal sustainability
repair_maintenance,repair maintenance
primary_secondary_education,primary secondary education
figure_illustrate,figure illustrate
attention_pay,attention pay
import_substitution,import substitution
progress_moderately_satisfactory,progress moderately satisfactory
cultural_property,cultural property
shall_repay,shall repay
inflationary_pressure,inflationary pressure
current_end_target,current end target
increasingly_important,increasingly important
approach_recommendation_sign,approach recommendation sign
mention_earlier,mention earlier
people_republic_china,people republic china
cubic_meter,cubic meter
workshop_hold,workshop hold
dispute_resolution,dispute resolution
quarterly_journal_economic,quarterly journal economic
power_station,power station
tree_crop,tree crop
consultation_meeting,consultation meeting
way_forward,way forward
envelope_implementation,envelope implementation
council_minister,council minister
female_male,female male
compensation_resettlement,compensation resettlement
entry_point,entry point
quantitative_qualitative,quantitative qualitative
self_help,self help
consumer_price,consumer price
recently_approve,recently approve
national_assembly,national assembly
economic_viability,economic viability
anti_corruption_guideline,anti corruption guideline
agreement_sign_respective,agreement sign respective
project_financing_seq,project financing seq
request_single_stage_post,request single stage post
budget_deficit,budget deficit
shall_procure_accordance,shall procure accordance
septic_tank,septic tank
federal_republic,federal republic
live_birth,live birth
component_paragraph_guideline,component paragraph guideline
use_agreement_meaning,use agreement meaning
political_stability,political stability
quotation_envelope_implementation,quotation envelope implementation
potential_negative_impact,potential negative impact
mil_lion,mil lion
capital_stock,capital stock
pursuant_provision,pursuant provision
awareness_raise,awareness raise
rise_sharply,rise sharply
highly_relevant,highly relevant
civil_war,civil war
date_mar,date mar
recommend_executive_director,recommend executive director
currency_currency,currency currency
problem_encounter,problem encounter
man_month,man month
diligence_efficiency_conformity_appropriate,diligence efficiency conformity appropriate
provision_thereof,provision thereof
express_paper_entirely,express paper entirely
million_ton,million ton
supply_territory,supply territory
org_org,org org
square_kilometer,square kilometer
prove_difficult,prove difficult
accountability_transparency,accountability transparency
nominal_term,nominal term
alleviate_poverty,alleviate poverty
encourage_exchange_idea,encourage exchange idea
relatively_stable,relatively stable
notwithstanding_provision_paragraph,notwithstanding provision paragraph
particular_emphasis,particular emphasis
occupational_health_safety,occupational health safety
bid_evaluation_activity,bid evaluation activity
disaster_risk_management,disaster risk management
draft_sign,draft sign
necessarily_reflect_view,necessarily reflect view
progress_achievement_moderately,progress achievement moderately
scarce_resource,scarce resource
potentially_affect,potentially affect
knowledge_sharing,knowledge share
construction_permit,construction permit
advanced_economy,advanced economy
special_drawing_right,special drawing right
negatively_impact,negatively impact
deposit_special_account,deposit special account
main_driver,main driver
table_summarize,table summarize
trade_liberalization,trade liberalization
vary_depend,vary depend
maintenance_repair,maintenance repair
special_emphasis,special emphasis
skilled_labor,skilled labor
make_respect_reasonable,make respect reasonable
project_location_salient,project location salient
trading_partner,trading partner
copy_public_disclosure,copy public disclosure
self_employment,self employment
user_fee,user fee
actively_involve,actively involve
furnish_association,furnish association
absorptive_capacity,absorptive capacity
severely_affect,severely affect
senior_official,senior official
carry_author_cite,carry author cite
waste_collection,waste collection
concept_stage,concept stage
strategic_planning,strategic planning
pursuant_section,pursuant section
teacher_training,teacher training
approval_date_effectiveness,approval date effectiveness
corporate_income,corporate income
post_direct_selection,post direct selection
directorate_general,directorate general
rating_satisfactory,rate satisfactory
copy_report,copy report
disseminate_finding_work,disseminate work
vary_accord,vary accord
proposal_submission_report,proposal submission report
state_art,state art
short_list_comprise_entirely,short list comprise entirely
identification_preparation,identification preparation
deputy_director,deputy director
request_single_stage_pend,request single stage pend
historical_datum,historical datum
number_custom_baseline,number custom baseline
displace_person,displace person
payment_eligible_expenditure,payment eligible expenditure
accordingly_finding_interpretation_conclusion,accordingly interpretation conclusion
comparative_analysis,comparative analysis
old_age,old age
concerted_effort,concerted effort
expand_rapidly,expand rapidly
prior_review_threshold_comment,prior review threshold comment
remedial_measure,remedial measure
office_space,office space
explanatory_variable,explanatory variable
water_sewerage,water sewerage
bear_mind,bear mind
working_condition,work condition
cash_balance,cash balance
agriculture_forestry,agriculture forestry
health_insurance,health insurance
dam_safety,dam safety
female_head_household,female head household
secretary_general,secretary general
capital_inflow,capital inflow
series_finding_quickly,series quickly
contract_order_invoice,contract order invoice
non_existent,non existent
accordance_provision_paragraph_guideline,accordance provision paragraph guideline
literature_review,literature review
law_enforcement,law enforcement
shall_furnish_association,shall furnish association
remain_stable,remain stable
literacy_rate,literacy rate
region_document_restrict,region document restrict
schedule_withdrawal_proceed,schedule withdrawal proceed
external_shock,external shock
staff_calculation,staff calculation
poverty_inequality,poverty inequality
payment_special_account,payment special account
ministry_justice,ministry justice
physical_contingency,physical contingency
subsidiary_right,subsidiary right
user_charge,user charge
value_date_jun,value date jun
anticipate_future,anticipate future
borrower_shall_promptly,borrower shall promptly
relatively_little,relatively little
attach_annex,attach annex
dollar_equivalent,dollar equivalent
sharp_decline,sharp decline
research_working_paper,research work paper
south_west,south west
fix_effect,fix effect
pip_water,pip water
locate_near,locate near
northern_region,northern region
pumping_station,pump station
attract_foreign,attract foreign
lend_instrument,lend instrument
constraint_face,constraint face
peer_reviewer,peer reviewer
adequately_address,adequately address
state_cable_address,state cable address
environment_natural_resource,environment natural resource
stop_shop,stop shop
long_history,long history
financially_viable,financially viable
easily_accessible,easily accessible
data_sheet,datum sheet
united_kingdom_united_state,united kingdom united state
long_stand,long stand
term_reference_tor,term reference tor
march_march,march march
price_contingency,price contingency
respect_withdrawal,respect withdrawal
daily_basis,daily basis
world_bank_street_fax,world bank street fax
compare_favorably,compare favorably
self_sufficiency,self sufficiency
special_purpose,special purpose
press_release,press release
eastern_central,eastern central
enrollment_rate,enrollment rate
depend_nature,depend nature
papa_new_guinea,papa new guinea
knowledge_skill,knowledge skill
liquid_asset,liquid asset
visit_org,visit org
comprise_entirely_national,comprise entirely national
disposable_income,disposable income
incidence_poverty,incidence poverty
refer_paragraph_section,refer paragraph section
bilateral_multilateral,bilateral multilateral
capital_adequacy,capital adequacy
working_paper,work paper
make_publicly_available,make publicly available
economic_memorandum,economic memorandum
comply_article,comply article
clearly_indicate,clearly indicate
biodiversity_conservation,biodiversity conservation
air_transport,air transport
prior_direct_selection,prior direct selection
central_eastern,central eastern
key_driver,key driver
grace_period,grace period
presentation_fully_polished_paper,presentation fully polish paper
dummy_variable,dummy variable
code_conduct,code conduct
finding_interpretation_conclusion_express,interpretation conclusion express
advanced_stage,advanced stage
website_org,website org
standard_error,standard error
medium_sized,medium sized
year_certify_copy,year certify copy
purchase_power_parity,purchase power parity
extremely_difficult,extremely difficult
real_wage,real wage
cross_cut,cross cut
pregnant_woman,pregnant woman
nation_wide,nation wide
sustained_growth,sustained growth
employ_worker,employ worker
independent_evaluation,independent evaluation
highly_dependent,highly dependent
play_important,play important
independent_auditor,independent auditor
pension_fund,pension fund
climatic_condition,climatic condition
basis_inter_foregoing,basis inter foregoing
reference_bid_evaluation,reference bid evaluation
primary_secondary_school,primary secondary school
small_medium_scale,small medium scale
table_paragraph_schedule,table paragraph schedule
rating_political,rate political
post_open,post open
discuss_earlier,discuss earlier
routine_maintenance,routine maintenance
tor_term_reference,tor term reference
moderately_satisfactory_overall,moderately satisfactory overall
replacement_cost,replacement cost
laboratory_equipment,laboratory equipment
single_stage_pend,single stage pend
subsidiary_loan_agreement,subsidiary loan agreement
advisory_committee,advisory committee
hardware_software,hardware software
water_treatment_plant,water treatment plant
current_rating,current rating
