ngram,occ
balance_payment,17566.0
job_creation,17549.0
structural_reform,17412.0
vice_president,17299.0
selection_method,17295.0
civil_servant,17276.0
clearly_define,17274.0
section_general_condition,17167.0
special_account,17095.0
food_security,17071.0
poverty_alleviation,17033.0
accordance_provision,17017.0
plan_actual_plan_actual,16987.0
external_debt,16835.0
comparative_advantage,16821.0
role_responsibility,16807.0
consulting_service,16802.0
contract_completion,16785.0
solid_waste,16718.0
international_waterway,16577.0
procurement_qualification,16419.0
secondary_education,16417.0
near_future,16372.0
rapid_growth,16357.0
consult_service,16323.0
review_type_method,16275.0
delineate_leave_blank,16266.0
plan_date_comma,16265.0
credit_execute_agency,16242.0
approval_date,16220.0
primary_secondary,16204.0
short_list_draft,16117.0
issue_proposal_minute,16079.0
status_term_reference,16068.0
calendar_year,16005.0
point_view,15988.0
population_live,15971.0
director_general,15931.0
water_supply_sanitation,15916.0
process_draft_qualification,15915.0
main_reason,15887.0
non_consulting_service,15880.0
quality_assurance,15847.0
resettlement_action_plan,15792.0
second_half,15758.0
execute_agency,15705.0
secondary_school,15654.0
short_run,15558.0
man_woman,15537.0
research_institute,15528.0
approval_date_original,15508.0
effective_date,15305.0
challenge_face,15153.0
middle_east_north,15124.0
natural_disaster,15122.0
borrower_shall,15122.0
audit_financial_statement,15110.0
regular_basis,15082.0
physical_cultural_resource,15074.0
achievement_objective,14972.0
yes_yes,14954.0
fall_short,14915.0
policy_dialogue,14903.0
task_team,14858.0
investment_climate,14857.0
make_sure,14828.0
remain_unchanged,14814.0
set_forth_refer,14778.0
population_density,14764.0
enable_environment,14600.0
social_security,14599.0
private_partnership,14590.0
safety_net,14440.0
budget_allocation,14435.0
prior_review_threshold,14333.0
eligibility_criterion,14283.0
accounting_standard,14275.0
schedule_agreement,14259.0
neighboring_country,14232.0
readily_available,14193.0
decision_maker,14193.0
fix_asset,14129.0
transparency_accountability,14082.0
global_practice,14073.0
labor_intensive,14060.0
foreign_currency,14037.0
urgent_need,14030.0
refer_section,14023.0
international_finance_corporation,14011.0
negative_effect,13965.0
exchange_view,13965.0
date_original_closing,13962.0
team_leader,13958.0
reform_agenda,13941.0
consultant_guideline,13910.0
national_competitive_bidding,13882.0
change_board_approval,13841.0
time_frame,13825.0
